rank_test_score,mean_test_score,std_test_score,criterion,learning_rate,loss,max_depth,min_samples_leaf,min_samples_split,n_estimators
1,0.9060512643702284,0.006778219097814566,mse,0.05,lad,3,3,4,500
2,0.9057464009292626,0.004445650517334383,friedman_mse,0.01,ls,3,3,4,1000
3,0.9052094150595658,0.0024413463978838093,mse,0.01,ls,5,5,4,1000
4,0.9050171899413272,0.002492108931329635,mse,0.01,huber,5,5,4,1000
5,0.903280144822559,0.0032734954319647157,friedman_mse,0.1,lad,20,3,2,500
6,0.9029962530424837,0.006575539587507033,friedman_mse,0.2,huber,3,3,2,100
7,0.9027798122042573,0.0034521988002364965,mse,0.05,lad,5,3,4,1000
8,0.9022179621918985,0.0024518446187464416,mse,0.15,huber,5,3,2,100
9,0.9016042660364201,0.001832209985039993,mse,0.15,huber,3,5,3,500
10,0.9013243588005181,0.0017021227914684135,mse,0.1,lad,10,5,3,2000
11,0.9012184718369337,0.0050327992131890655,mse,0.01,lad,10,3,3,500
12,0.9011592108555232,0.0025008809158664287,friedman_mse,0.15,huber,3,5,3,500
13,0.900931278897527,0.0005247555191981235,mse,0.2,lad,10,5,3,500
14,0.9006705329081679,0.0033069854452743804,mse,0.1,lad,5,3,4,1000
15,0.900457637433457,0.0028763967292976585,friedman_mse,0.1,lad,10,3,2,2000
16,0.9002682925440684,0.0033975006477081015,mse,0.05,huber,3,3,2,1000
17,0.8997779020272109,0.0016025715674157024,mse,0.15,huber,5,5,2,500
18,0.8995661411157588,0.005799025990171634,mse,0.2,lad,10,3,2,2000
19,0.8993434833396213,0.0018043687566432483,mse,0.2,lad,10,5,2,500
20,0.8991734712500717,0.0020762219382625354,mse,0.15,huber,3,3,3,500
21,0.899130229442052,0.00032838968231674136,mse,0.15,lad,20,5,3,2000
22,0.8987623096599862,0.005764589904631946,mse,0.15,lad,20,1,3,500
23,0.8986303943161641,0.0018678943854023551,mse,0.1,ls,5,5,4,500
24,0.898581391428523,0.0008936596582541184,mse,0.1,huber,5,3,3,1000
25,0.8984667787521812,0.0010841547700159448,friedman_mse,0.1,ls,5,3,3,500
26,0.898344890521505,0.004799186827309008,mse,0.3,lad,20,5,4,500
27,0.8980684894513333,0.002397505091065834,mse,0.2,huber,20,5,2,1000
28,0.8980632302442924,0.0007440091182902193,friedman_mse,0.3,huber,5,5,4,1000
29,0.8978716469455219,0.001636084987059139,friedman_mse,0.3,ls,5,1,2,100
30,0.8977494489198811,0.001630226594278224,mse,0.1,huber,20,5,3,1000
31,0.897314640752384,0.006117866043804873,friedman_mse,0.1,lad,20,1,3,100
32,0.897181388495694,0.0010783046888807586,mse,0.2,ls,5,1,2,1000
33,0.8970348856015431,0.0010436335346880716,friedman_mse,0.05,huber,5,1,3,2000
34,0.8963802794887893,0.0032441941051350766,friedman_mse,0.1,ls,20,5,2,100
35,0.8963496513939875,0.004647809407593697,mse,0.15,ls,10,5,4,500
36,0.8961783667715989,0.0023027182116285914,mse,0.15,huber,20,3,4,500
37,0.8957998846670976,0.0012267502447789423,friedman_mse,0.1,huber,20,3,2,1000
38,0.8955525333918944,0.004333501103656199,friedman_mse,0.1,huber,3,1,3,1000
39,0.8953232853705668,0.003919876496181873,mse,0.01,ls,10,3,2,2000
40,0.8952259710879387,0.0030004723599528615,friedman_mse,0.3,ls,20,5,4,2000
41,0.8932316674433599,0.020036153510758773,mse,0.2,lad,3,1,4,2000
42,0.8917167164217653,0.005691447276163395,mse,0.3,huber,3,1,3,500
43,0.891057898008372,0.00408369803254793,friedman_mse,0.01,ls,10,1,3,500
44,0.8906926582858121,0.0066488636867016405,friedman_mse,0.3,huber,3,5,3,2000
45,0.8901957988829005,0.004009370301034407,friedman_mse,0.3,huber,3,3,2,2000
46,0.8893711036154706,0.0026275370200397642,mse,0.1,huber,20,1,4,1000
47,0.8890901774109848,0.004254781571934916,friedman_mse,0.15,ls,3,1,4,1000
48,0.888363841522419,0.001214862893160443,friedman_mse,0.2,huber,20,1,4,2000
49,0.8834639646165597,0.00466852006310808,friedman_mse,0.3,ls,3,1,3,500
50,0.839324622329703,0.0035465093317314,mse,0.01,huber,5,1,3,100
